baseline_method,method,seed,baseline_success,method_success,success_delta,baseline_selected_worst_error,method_selected_worst_error,selected_worst_error_diff
surrogate_qubo_sa,qaoa_random_p1,113,True,True,0,0.09407452909228246,0.09220729072812293,-0.0018672383641595292
surrogate_qubo_sa,qaoa_random_p1,127,True,True,0,0.09256463069979118,0.08466236152415695,-0.007902269175634233
surrogate_qubo_sa,qaoa_random_p1,131,True,True,0,0.09407452909228246,0.09407452909228246,0.0
surrogate_qubo_sa,qaoa_random_p1,137,True,True,0,0.09407452909228246,0.0876302659683052,-0.006444263123977265
surrogate_qubo_sa,qaoa_random_p1,139,True,False,-1,0.09256463069979118,0.1225837878904666,0.030019157190675425
surrogate_qubo_sa,qaoa_random_p1,149,True,True,0,0.08918526287155164,0.08814672066722083,-0.0010385422043308057
surrogate_qubo_sa,qaoa_random_p1,151,True,True,0,0.0876302659683052,0.08814672066722083,0.0005164546989156332
surrogate_qubo_sa,qaoa_random_p1,157,True,True,0,0.09407452909228246,0.08918526287155164,-0.004889266220730826
surrogate_qubo_sa,qaoa_random_p1,163,True,False,-1,0.09407452909228246,0.11852205221045632,0.02444752311817386
surrogate_qubo_sa,qaoa_random_p1,167,True,False,-1,0.09407452909228246,0.11900061701526445,0.024926087922981982
surrogate_qubo_sa,qaoa_random_p1,173,False,False,0,0.12047277532478883,0.11703523325279891,-0.003437542071989916
surrogate_qubo_sa,qaoa_random_p1,179,True,True,0,0.09407452909228246,0.09256463069979118,-0.001509898392491285
surrogate_qubo_sa,qaoa_random_p1,181,True,False,-1,0.09256463069979118,0.11852205221045632,0.025957421510665143
surrogate_qubo_sa,qaoa_random_p1,191,True,True,0,0.09407452909228246,0.09407452909228246,0.0
surrogate_qubo_sa,qaoa_random_p1,193,True,False,-1,0.09256463069979118,0.12792099166140974,0.035356360961618566
surrogate_qubo_sa,qaoa_random_p1,197,True,False,-1,0.09256463069979118,0.11817776457824172,0.025613133878450545
surrogate_qubo_sa,qaoa_random_p1,199,True,True,0,0.09256463069979118,0.09407452909228246,0.001509898392491285
surrogate_qubo_sa,qaoa_random_p1,211,True,False,-1,0.09220729072812293,0.12792099166140974,0.03571370093328681
surrogate_qubo_sa,qaoa_optimized_p1,11,True,True,0,0.08918526287155164,0.09407452909228246,0.004889266220730826
surrogate_qubo_sa,qaoa_optimized_p1,23,True,True,0,0.09407452909228246,0.09407452909228246,0.0
surrogate_qubo_sa,qaoa_optimized_p1,37,True,True,0,0.09407452909228246,0.09220729072812293,-0.0018672383641595292
surrogate_qubo_sa,qaoa_optimized_p1,41,True,False,-1,0.09407452909228246,0.12007636130685716,0.026001832214574694
surrogate_qubo_sa,qaoa_optimized_p1,53,True,False,-1,0.09256463069979118,0.12593070342942508,0.033366072729633905
surrogate_qubo_sa,qaoa_optimized_p1,67,True,True,0,0.09407452909228246,0.0876302659683052,-0.006444263123977265
surrogate_qubo_sa,qaoa_optimized_p1,79,True,True,0,0.0876302659683052,0.09256463069979118,0.0049343647314859795
surrogate_qubo_sa,qaoa_optimized_p1,83,True,True,0,0.09407452909228246,0.09407452909228246,0.0
surrogate_qubo_sa,qaoa_optimized_p1,97,True,False,-1,0.09220729072812293,0.12203281476453463,0.0298255240364117
surrogate_qubo_sa,qaoa_optimized_p1,101,True,False,-1,0.08918526287155164,0.12593070342942508,0.036745440557873446
surrogate_qubo_sa,qaoa_optimized_p1,107,True,True,0,0.09407452909228246,0.09256463069979118,-0.001509898392491285
surrogate_qubo_sa,qaoa_optimized_p1,109,False,True,1,0.12203281476453463,0.08466236152415695,-0.03737045324037769
