baseline_method,method,seed,baseline_success,method_success,success_delta,baseline_selected_worst_error,method_selected_worst_error,selected_worst_error_diff
all_windows_continuous,true_sa,167,True,True,0,0.0600601953060511,0.0940745290922824,0.034014333786231296
all_windows_continuous,true_sa,173,True,True,0,0.0600601953060511,0.0940745290922824,0.034014333786231296
all_windows_continuous,true_sa,179,True,True,0,0.0600601953060511,0.0925646306997911,0.03250443539374
all_windows_continuous,true_sa,181,True,True,0,0.0600601953060511,0.0922072907281229,0.03214709542207181
all_windows_continuous,true_sa,191,True,True,0,0.0600601953060511,0.0922072907281229,0.03214709542207181
all_windows_continuous,true_sa,193,True,True,0,0.0600601953060511,0.0940745290922824,0.034014333786231296
all_windows_continuous,true_sa,197,True,True,0,0.0600601953060511,0.0940745290922824,0.034014333786231296
all_windows_continuous,true_sa,199,True,True,0,0.0600601953060511,0.0922072907281229,0.03214709542207181
all_windows_continuous,true_sa,211,True,True,0,0.0600601953060511,0.0940745290922824,0.034014333786231296
all_windows_continuous,surrogate_qubo_sa,11,True,True,0,0.0600601953060511,0.0940745290922824,0.034014333786231296
all_windows_continuous,surrogate_qubo_sa,23,True,True,0,0.0600601953060511,0.0940745290922824,0.034014333786231296
all_windows_continuous,surrogate_qubo_sa,37,True,True,0,0.0600601953060511,0.0940745290922824,0.034014333786231296
all_windows_continuous,surrogate_qubo_sa,41,True,True,0,0.0600601953060511,0.0940745290922824,0.034014333786231296
all_windows_continuous,surrogate_qubo_sa,53,True,True,0,0.0600601953060511,0.0940745290922824,0.034014333786231296
all_windows_continuous,surrogate_qubo_sa,67,True,True,0,0.0600601953060511,0.0925646306997911,0.03250443539374
all_windows_continuous,surrogate_qubo_sa,79,True,True,0,0.0600601953060511,0.0940745290922824,0.034014333786231296
all_windows_continuous,surrogate_qubo_sa,83,True,True,0,0.0600601953060511,0.0940745290922824,0.034014333786231296
all_windows_continuous,surrogate_qubo_sa,97,True,True,0,0.0600601953060511,0.0925646306997911,0.03250443539374
all_windows_continuous,surrogate_qubo_sa,101,True,True,0,0.0600601953060511,0.0925646306997911,0.03250443539374
all_windows_continuous,surrogate_qubo_sa,107,True,True,0,0.0600601953060511,0.0940745290922824,0.034014333786231296
