method,states_in_support,feasible_support_probability,expected_selected_worst_error,expected_nominal_error,probability_best_one_coast,probability_best_state,probability_pareto_frontier,top_schedule,top_schedule_probability,top_schedule_selected_worst_error,best_one_coast_schedule,best_schedule,best_one_coast_selected_worst_error,best_selected_worst_error,top3_schedules,mixer_topology,warm_start_mode,depth,restarts,restart_grid,best_restart_count,best_seed,restart_grid_size,restart_grid_expected_selected_worst_error_min,restart_grid_expected_selected_worst_error_median,restart_grid_expected_selected_worst_error_max,restart_grid_expected_selected_worst_error_spread,restart_grid_probability_best_one_coast_min,restart_grid_probability_best_one_coast_median,restart_grid_probability_best_one_coast_max,angles,initial_state,notes,expected_normalized_cost
uniform_feasible,66,1.0,0.11375786488534918,0.08804712772476933,0.015151515151515152,0.015151515151515152,0.015151515151515152,001111111111,0.015151515151515152,0.1279209916614097,111111111100,111111111100,0.1055748925448516,0.1055748925448516,001111111111:0.015; 010111111111:0.015; 011011111111:0.015,none,uniform,0,0,[],0,0,0,,,,,,,,[],uniform,feasible-subspace baseline with no mixer dynamics,
structured_inverse_cycle_p3_r8,66,1.0,0.10865682658533159,0.08300760799586619,0.12058741956321735,0.12058741956321735,0.12058741956321735,111111111100,0.12058741956321735,0.1055748925448516,111111111100,111111111100,0.1055748925448516,0.1055748925448516,111111111100:0.121; 111111111001:0.111; 111111111010:0.092,cycle,inverse,3,8,"[1, 4, 8]",8,20261656,3,0.10865682658533159,0.108671256502909,0.108671256502909,1.4429917577413187e-05,0.1201242112368671,0.1201242112368671,0.12058741956321735,"[0.0, 4.589655578903448, 4.1745450018538435, 0.005499709477944196, 0.07379816211088043, 0.0]",inverse,feasible-subspace structured QAOA,0.1379182122304438
structured_inverse_cycle_p2_r8,66,1.0,0.10865686771772431,0.0830076644163623,0.12069909988928638,0.12069909988928638,0.12069909988928638,111111111100,0.12069909988928638,0.1055748925448516,111111111100,111111111100,0.1055748925448516,0.1055748925448516,111111111100:0.121; 111111111001:0.111; 111111111010:0.092,cycle,inverse,2,8,"[1, 4, 8]",8,20261646,3,0.10865686771772431,0.10865686773313782,0.10867125650290899,1.4388785184671349e-05,0.1201242112368671,0.12069881195022973,0.12069909988928638,"[4.62855753099751, 5.652505291640408, 0.07330672614027298, 0.0]",inverse,feasible-subspace structured QAOA,0.13792005292722562
structured_inverse_path_p3_r1,66,1.0,0.10867125650290899,0.08302535007203231,0.1201242112368671,0.1201242112368671,0.1201242112368671,111111111100,0.1201242112368671,0.1055748925448516,111111111100,111111111100,0.1055748925448516,0.1055748925448516,111111111100:0.120; 111111111001:0.113; 111111111010:0.090,path,inverse,3,1,"[1, 4, 8]",1,20260649,3,0.10867125650290899,0.10867125650290899,0.10867125650290899,0.0,0.1201242112368671,0.1201242112368671,0.1201242112368671,"[0.15441602722806533, 0.18149151961401688, 0.21690171652987122, 0.0, 0.0, 0.0]",inverse,feasible-subspace structured QAOA,0.13856395883266456
structured_inverse_path_p4_r1,66,1.0,0.10867125650290899,0.0830253500720323,0.1201242112368671,0.1201242112368671,0.1201242112368671,111111111100,0.1201242112368671,0.1055748925448516,111111111100,111111111100,0.1055748925448516,0.1055748925448516,111111111100:0.120; 111111111001:0.113; 111111111010:0.090,path,inverse,4,1,"[1, 4, 8]",1,20260659,3,0.10867125650290899,0.10867125650290899,0.10867125650290899,0.0,0.1201242112368671,0.1201242112368671,0.1201242112368671,"[0.07051068643771452, 0.0732386007422176, 0.09998169714542897, 0.160860301829097, 0.0, 0.0, 0.0, 0.0]",inverse,feasible-subspace structured QAOA,0.13856395883266456
structured_inverse_cycle_p1_r1,66,1.0,0.108671256502909,0.08302535007203231,0.1201242112368671,0.1201242112368671,0.1201242112368671,111111111100,0.1201242112368671,0.1055748925448516,111111111100,111111111100,0.1055748925448516,0.1055748925448516,111111111100:0.120; 111111111001:0.113; 111111111010:0.090,cycle,inverse,1,1,"[1, 4, 8]",1,20261629,3,0.108671256502909,0.108671256502909,0.108671256502909,0.0,0.1201242112368671,0.1201242112368671,0.1201242112368671,"[0.2134495605260956, 0.0]",inverse,feasible-subspace structured QAOA,0.13856395883266456
structured_inverse_cycle_p4_r1,66,1.0,0.108671256502909,0.08302535007203231,0.1201242112368671,0.1201242112368671,0.1201242112368671,111111111100,0.1201242112368671,0.1055748925448516,111111111100,111111111100,0.1055748925448516,0.1055748925448516,111111111100:0.120; 111111111001:0.113; 111111111010:0.090,cycle,inverse,4,1,"[1, 4, 8]",1,20261659,3,0.108671256502909,0.108671256502909,0.108671256502909,0.0,0.1201242112368671,0.1201242112368671,0.1201242112368671,"[0.16325515239777172, 0.19287818042186372, 0.2061615590829337, 0.22273798743964757, 0.0, 0.0, 0.0, 0.0]",inverse,feasible-subspace structured QAOA,0.13856395883266456
structured_inverse_path_p1_r1,66,1.0,0.108671256502909,0.08302535007203231,0.1201242112368671,0.1201242112368671,0.1201242112368671,111111111100,0.1201242112368671,0.1055748925448516,111111111100,111111111100,0.1055748925448516,0.1055748925448516,111111111100:0.120; 111111111001:0.113; 111111111010:0.090,path,inverse,1,1,"[1, 4, 8]",1,20260629,3,0.108671256502909,0.108671256502909,0.108671256502909,0.0,0.1201242112368671,0.1201242112368671,0.1201242112368671,"[0.19216238501040608, 0.0]",inverse,feasible-subspace structured QAOA,0.13856395883266456
structured_inverse_path_p2_r1,66,1.0,0.108671256502909,0.08302535007203231,0.1201242112368671,0.1201242112368671,0.1201242112368671,111111111100,0.1201242112368671,0.1055748925448516,111111111100,111111111100,0.1055748925448516,0.1055748925448516,111111111100:0.120; 111111111001:0.113; 111111111010:0.090,path,inverse,2,1,"[1, 4, 8]",1,20260639,3,0.108671256502909,0.108671256502909,0.108671256502909,0.0,0.1201242112368671,0.1201242112368671,0.1201242112368671,"[0.1728031112759552, 0.21765024258060076, 0.0, 0.0]",inverse,feasible-subspace structured QAOA,0.13856395883266456
structured_exponential_complete_p1_r4,66,1.0,0.10886714551266793,0.08327205443162497,0.05590663076964593,0.05590663076964593,0.05590663076964593,111111111100,0.05590663076964593,0.1055748925448516,111111111100,111111111100,0.1055748925448516,0.1055748925448516,111111111100:0.056; 111111111001:0.056; 111111111010:0.054,complete,exponential,1,4,"[1, 4, 8]",4,20262732,3,0.10886714551266793,0.10886714551266803,0.10886714551267306,5.1209037010835345e-15,0.05590662106371743,0.05590663076964593,0.05590663077274454,"[3.3729831671672654, 3.1279916532859553]",exponential,feasible-subspace structured QAOA,0.14733009777875786
structured_exponential_cycle_p1_r1,66,1.0,0.11063592652683883,0.08500664130159367,0.03627279017356519,0.03627279017356519,0.03627279017356519,111111111100,0.03627279017356519,0.1055748925448516,111111111100,111111111100,0.1055748925448516,0.1055748925448516,111111111100:0.036; 111111111001:0.036; 111111111010:0.036,cycle,exponential,1,1,"[1, 4, 8]",1,20261729,3,0.11063592652683883,0.11063592652683883,0.11063592652683883,0.0,0.03627279017356519,0.03627279017356519,0.03627279017356519,"[0.19043577661152788, 0.0]",exponential,feasible-subspace structured QAOA,0.22648400311789027
