method,mixer_topology,warm_start_mode,depth,restarts,seed,expected_selected_worst_error,expected_normalized_cost,expected_nominal_error,probability_best_one_coast,probability_pareto_frontier,top_schedule,top_schedule_probability,top_schedule_selected_worst_error,best_one_coast_schedule,best_one_coast_selected_worst_error,angles
structured_exponential_cycle_p2_r1,cycle,exponential,2,1,20261739,0.11063592652683883,0.22648400311789027,0.08500664130159367,0.03627279017356519,0.03627279017356519,111111111100,0.03627279017356519,0.1055748925448516,111111111100,0.1055748925448516,"[0.12235071192865553, 0.2388725573093163, 0.0, 0.0]"
structured_exponential_cycle_p2_r4,cycle,exponential,2,4,20261742,0.11063592652683883,0.22648400311789027,0.08500664130159367,0.03627279017356519,0.03627279017356519,111111111100,0.03627279017356519,0.1055748925448516,111111111100,0.1055748925448516,"[0.12235071192865553, 0.2388725573093163, 0.0, 0.0]"
structured_exponential_cycle_p2_r8,cycle,exponential,2,8,20261746,0.11063592652683883,0.22648400311789027,0.08500664130159367,0.03627279017356519,0.03627279017356519,111111111100,0.03627279017356519,0.1055748925448516,111111111100,0.1055748925448516,"[0.12235071192865553, 0.2388725573093163, 0.0, 0.0]"
structured_exponential_cycle_p3_r1,cycle,exponential,3,1,20261749,0.11063592652683883,0.22648400311789027,0.08500664130159367,0.03627279017356519,0.03627279017356519,111111111100,0.03627279017356519,0.1055748925448516,111111111100,0.1055748925448516,"[0.13910110465692416, 0.1959335795033544, 0.23429808541251207, 0.0, 0.0, 0.0]"
structured_exponential_cycle_p3_r4,cycle,exponential,3,4,20261752,0.11063592652683883,0.22648400311789027,0.08500664130159367,0.03627279017356519,0.03627279017356519,111111111100,0.03627279017356519,0.1055748925448516,111111111100,0.1055748925448516,"[0.13910110465692416, 0.1959335795033544, 0.23429808541251207, 0.0, 0.0, 0.0]"
structured_exponential_cycle_p3_r8,cycle,exponential,3,8,20261756,0.11063592652683883,0.22648400311789027,0.08500664130159367,0.03627279017356519,0.03627279017356519,111111111100,0.03627279017356519,0.1055748925448516,111111111100,0.1055748925448516,"[0.13910110465692416, 0.1959335795033544, 0.23429808541251207, 0.0, 0.0, 0.0]"
structured_exponential_cycle_p4_r1,cycle,exponential,4,1,20261759,0.11063592652683883,0.22648400311789027,0.08500664130159369,0.03627279017356519,0.03627279017356519,111111111100,0.03627279017356519,0.1055748925448516,111111111100,0.1055748925448516,"[0.13782625079355443, 0.15281687144617942, 0.1631141917623182, 0.1928643307468459, 0.0, 0.0, 0.0, 0.0]"
structured_exponential_cycle_p4_r4,cycle,exponential,4,4,20261762,0.11063592652683883,0.22648400311789027,0.08500664130159369,0.03627279017356519,0.03627279017356519,111111111100,0.03627279017356519,0.1055748925448516,111111111100,0.1055748925448516,"[0.13782625079355443, 0.15281687144617942, 0.1631141917623182, 0.1928643307468459, 0.0, 0.0, 0.0, 0.0]"
structured_exponential_cycle_p4_r8,cycle,exponential,4,8,20261766,0.11063592652683883,0.22648400311789027,0.08500664130159369,0.03627279017356519,0.03627279017356519,111111111100,0.03627279017356519,0.1055748925448516,111111111100,0.1055748925448516,"[0.13782625079355443, 0.15281687144617942, 0.1631141917623182, 0.1928643307468459, 0.0, 0.0, 0.0, 0.0]"
structured_inverse_complete_p1_r1,complete,inverse,1,1,20262629,0.10742058536220012,0.08259575005558323,0.081795656677059,0.1382485446267957,0.1382485446267957,111111111100,0.1382485446267957,0.1055748925448516,111111111100,0.1055748925448516,"[3.1214932717172394, 3.129979174228367]"
structured_inverse_complete_p1_r4,complete,inverse,1,4,20262632,0.10742058536219921,0.08259575005554251,0.08179565667893762,0.13824854283996046,0.13824854283996046,111111111100,0.13824854283996046,0.1055748925448516,111111111100,0.1055748925448516,"[3.121491940820937, 3.129979166607742]"
structured_inverse_complete_p1_r8,complete,inverse,1,8,20262636,0.1074205853621995,0.0825957500555552,0.0817956566801048,0.13824854186962343,0.13824854186962343,111111111100,0.13824854186962343,0.1055748925448516,111111111100,0.1055748925448516,"[3.1214915062075357, 2.177981391092565]"
structured_inverse_complete_p2_r1,complete,inverse,2,1,20262639,0.108671256502909,0.13856395883266456,0.08302535007203231,0.1201242112368671,0.1201242112368671,111111111100,0.1201242112368671,0.1055748925448516,111111111100,0.1055748925448516,"[0.17478121320559303, 0.27281977941146907, 0.0, 0.0]"
structured_inverse_complete_p2_r4,complete,inverse,2,4,20262642,0.1068674513128717,0.05784270271415499,0.08124415944375833,0.1521049080792302,0.1521049080792302,111111111100,0.1521049080792302,0.1055748925448516,111111111100,0.1055748925448516,"[2.816136973295025, 4.696272765175902, 3.127281556751699, 3.132284372730377]"
structured_inverse_complete_p2_r8,complete,inverse,2,8,20262646,0.10686745131156539,0.057842702655695404,0.08124415891734355,0.15210532307651134,0.15210532307651134,111111111100,0.15210532307651134,0.1055748925448516,111111111100,0.1055748925448516,"[2.8161759094155254, 4.696232154103779, 3.0320816380700606, 1.5138879181647826]"
structured_inverse_complete_p3_r1,complete,inverse,3,1,20262649,0.10649957223088354,0.04137991517932401,0.08086956326256924,0.1676911123773859,0.1676911123773859,111111111100,0.1676911123773859,0.1055748925448516,111111111100,0.1055748925448516,"[2.8210531653602238, 4.688921448322654, 5.1464480657806275, 0.5550303589459782, 0.558519816585431, 0.5622383806853405]"
structured_inverse_complete_p3_r4,complete,inverse,3,4,20262652,0.10649957223088354,0.04137991517932401,0.08086956326256924,0.1676911123773859,0.1676911123773859,111111111100,0.1676911123773859,0.1055748925448516,111111111100,0.1055748925448516,"[2.8210531653602238, 4.688921448322654, 5.1464480657806275, 0.5550303589459782, 0.558519816585431, 0.5622383806853405]"
structured_inverse_complete_p3_r8,complete,inverse,3,8,20262656,0.10649957223063729,0.0413799151683049,0.08086956300279656,0.16769135442540076,0.16769135442540076,111111111100,0.16769135442540076,0.1055748925448516,111111111100,0.1055748925448516,"[2.8210631392291003, 4.688913123501943, 5.146463174690773, 2.078226927570113, 1.1297184691369402, 0.7526378670032677]"
structured_inverse_complete_p4_r1,complete,inverse,4,1,20262659,0.106374015143687,0.035761167739708465,0.08073991951008887,0.17620512085051732,0.17620512085051732,111111111100,0.17620512085051732,0.1055748925448516,111111111100,0.1055748925448516,"[0.0, 1.1031305212864013, 4.219934756477621, 5.048832898506484, 2.4117521932957713, 1.8686622696174646, 1.888110804799742, 2.4653430813135193]"
structured_inverse_complete_p4_r4,complete,inverse,4,4,20262662,0.106374015143687,0.035761167739708465,0.08073991951008887,0.17620512085051732,0.17620512085051732,111111111100,0.17620512085051732,0.1055748925448516,111111111100,0.1055748925448516,"[0.0, 1.1031305212864013, 4.219934756477621, 5.048832898506484, 2.4117521932957713, 1.8686622696174646, 1.888110804799742, 2.4653430813135193]"
structured_inverse_complete_p4_r8,complete,inverse,4,8,20262666,0.10622367343274204,0.029033295006273774,0.08058840363785033,0.179971463256841,0.179971463256841,111111111100,0.179971463256841,0.1055748925448516,111111111100,0.1055748925448516,"[2.6724649352813707, 4.697263669361177, 5.01281008600716, 5.0057887537334835, 2.6487419692306906, 0.3662770471003009, 1.511096739631232, 2.371414582827511]"
structured_exponential_complete_p1_r1,complete,exponential,1,1,20262729,0.10886714551267306,0.14733009777898753,0.08327205444739197,0.05590662106371743,0.05590662106371743,111111111100,0.05590662106371743,0.1055748925448516,111111111100,0.1055748925448516,"[3.3729786812055633, 3.127991651840999]"
structured_exponential_complete_p1_r4,complete,exponential,1,4,20262732,0.10886714551266793,0.14733009777875786,0.08327205443162497,0.05590663076964593,0.05590663076964593,111111111100,0.05590663076964593,0.1055748925448516,111111111100,0.1055748925448516,"[3.3729831671672654, 3.1279916532859553]"
structured_exponential_complete_p1_r8,complete,exponential,1,8,20262736,0.10886714551266803,0.14733009777876252,0.0832720544316229,0.05590663077274454,0.05590663077274454,111111111100,0.05590663077274454,0.1055748925448516,111111111100,0.1055748925448516,"[3.372983157577387, 0.2719983318108046]"
structured_exponential_complete_p2_r1,complete,exponential,2,1,20262739,0.11063592652683883,0.22648400311789027,0.08500664130159367,0.03627279017356519,0.03627279017356519,111111111100,0.03627279017356519,0.1055748925448516,111111111100,0.1055748925448516,"[0.1673155628815769, 0.32727546939741015, 0.0, 0.0]"
structured_exponential_complete_p2_r4,complete,exponential,2,4,20262742,0.10781518351695393,0.10025423052215417,0.08222640243679386,0.07808791495812234,0.07808791495812234,111111111100,0.07808791495812234,0.1055748925448516,111111111100,0.1055748925448516,"[2.7636067659061863, 4.4471830065701985, 2.4581325583149742, 3.128921047909544]"
structured_exponential_complete_p2_r8,complete,exponential,2,8,20262746,0.10781518351695318,0.10025423052212125,0.08222640244842647,0.07808790681817138,0.07808790681817138,111111111100,0.07808790681817138,0.1055748925448516,111111111100,0.1055748925448516,"[2.7636044255102488, 4.447182687565633, 3.1245310014891334, 3.128921043097689]"
structured_exponential_complete_p3_r1,complete,exponential,3,1,20262749,0.10706028190459652,0.06647197580199883,0.08146085850512373,0.10620532179833124,0.10620532179833124,111111111100,0.10620532179833124,0.1055748925448516,111111111100,0.1055748925448516,"[2.6288346576057315, 4.345883466914698, 4.976983552038756, 3.1218141350695374, 3.028947494343906, 2.0819432706290955]"
structured_exponential_complete_p3_r4,complete,exponential,3,4,20262752,0.10706028190360384,0.06647197575757534,0.0814608581841941,0.10620557472990716,0.10620557472990716,111111111100,0.10620557472990716,0.1055748925448516,111111111100,0.1055748925448516,"[2.6288379861072673, 4.345907379207523, 4.976963803892254, 2.741015258313892, 2.933747622878771, 1.79634385049255]"
