method,mixer_topology,warm_start_mode,depth,restarts,seed,expected_selected_worst_error,expected_normalized_cost,expected_nominal_error,probability_best_one_coast,probability_pareto_frontier,top_schedule,top_schedule_probability,top_schedule_selected_worst_error,best_one_coast_schedule,best_one_coast_selected_worst_error,angles
uniform_match_cycle_p2_r4,cycle,uniform,2,4,20270642,0.11340561226423886,0.3504289352043918,0.0877094698767698,0.012525095948521366,0.012525095948521366,111111111001,0.03021245466370952,0.1056046330372665,111111111100,0.1055748925448516,"[2.6354882707922025, 2.4795499104918144, 0.0, 3.0653176223052423]"
uniform_match_cycle_p2_r8,cycle,uniform,2,8,20270646,0.11332327001502085,0.3467440750957665,0.08760857549828958,0.011889514462296925,0.011889514462296925,101011111111,0.036025405948040906,0.1220328147645346,111111111100,0.1055748925448516,"[5.238239953056965, 0.0, 2.7872685895481957, 1.9658467871310052]"
uniform_match_cycle_p3_r1,cycle,uniform,3,1,20270649,0.11375786488534918,0.3661924301783006,0.08804712772476933,0.01515151515151515,0.01515151515151515,010111111111,0.015151515151515155,0.125930703429425,111111111100,0.1055748925448516,"[0.0, 0.0, 0.06081263249815771, 0.24778433670505828, 0.17934597721823745, 0.0]"
uniform_match_cycle_p3_r4,cycle,uniform,3,4,20270652,0.11211629209683453,0.29273116161629664,0.08646425424793523,0.005052898391078108,0.005052898391078108,111111110110,0.0677936047030242,0.1057604557916291,111111111100,0.1055748925448516,"[6.283185307179586, 0.5171540130910062, 5.428234353841484, 3.141592653589793, 1.9727220296559038, 2.93353051154752]"
uniform_match_cycle_p3_r8,cycle,uniform,3,8,20270656,0.11231067925137747,0.3014300917306313,0.08662475391832494,0.03615836959117173,0.03615836959117173,111111111001,0.04636878980691151,0.1056046330372665,111111111100,0.1055748925448516,"[0.7465714974830248, 6.283185307179586, 6.20261769980604, 2.1419150956761954, 3.141592653589793, 3.141592653589793]"
uniform_match_cycle_p4_r1,cycle,uniform,4,1,20270659,0.11375786488534918,0.3661924301783006,0.08804712772476934,0.015151515151515147,0.015151515151515147,011111110111,0.015151515151515159,0.1181777645782417,111111111100,0.1055748925448516,"[0.0, 0.0, 0.0, 0.045921980454159274, 0.2565211647449471, 0.258451531953545, 0.22802247411979654, 0.0]"
uniform_match_cycle_p4_r4,cycle,uniform,4,4,20270662,0.11148665608301954,0.2645546100611101,0.08584573812319045,0.0207755937359149,0.0207755937359149,111111111010,0.0590600663216023,0.105726654638994,111111111100,0.1055748925448516,"[6.283185307179586, 6.283185307179586, 6.283185307179586, 6.283185307179586, 0.12670301305826423, 3.141592653589793, 1.3521968435991614, 3.141592653589793]"
uniform_match_cycle_p4_r8,cycle,uniform,4,8,20270666,0.11197197638980244,0.2862729558113667,0.08633152221665491,0.007610466629635069,0.007610466629635069,111111110110,0.06665779555249574,0.1057604557916291,111111111100,0.1055748925448516,"[4.049220527539109, 3.4371357552534287, 0.19727830712381256, 5.2236762858767944, 0.1491269937503806, 3.141592653589793, 1.9446776967357675, 2.9510603081370297]"
uniform_match_path_p1_r1,path,uniform,1,1,20269629,0.11363478530500902,0.36068455250810105,0.08793718753668239,0.0014186099320840976,0.0014186099320840976,011110111111,0.03105459061823127,0.1211879729108648,111111111100,0.1055748925448516,"[0.0, 3.141592653589793]"
uniform_match_path_p1_r4,path,uniform,1,4,20269632,0.11363478530500902,0.36068455250810105,0.08793718753668239,0.0014186099320840976,0.0014186099320840976,011110111111,0.03105459061823127,0.1211879729108648,111111111100,0.1055748925448516,"[0.0, 3.141592653589793]"
