structured_method,matched_uniform_method,mixer_topology,warm_start_mode,depth,restarts,restart_grid,structured_expected_selected_worst_error,matched_uniform_expected_selected_worst_error,structured_minus_matched_uniform_selected_worst_error,absolute_selected_worst_error_difference,structured_probability_best_one_coast,matched_uniform_probability_best_one_coast,structured_probability_pareto_frontier,matched_uniform_probability_pareto_frontier,structured_restart_grid_expected_selected_worst_error_min,structured_restart_grid_expected_selected_worst_error_max,structured_restart_grid_expected_selected_worst_error_spread,structured_restart_grid_probability_best_one_coast_min,structured_restart_grid_probability_best_one_coast_max,comparison_basis
structured_inverse_cycle_p1_r1,uniform_match_cycle_p1_r1,cycle,inverse,1,1,"[1, 4, 8]",0.0842841487476258,0.0874612047385159,-0.003177055990890104,0.003177055990890104,0.4774248929826758,0.08333333333333344,0.6361297343270648,0.25000000000000006,0.0842841487476258,0.0842841487476258,0.0,0.4774248929826758,0.4774248929826758,"same feasible subspace, same mixer topology, same depth, same restart count"
structured_inverse_cycle_p2_r1,uniform_match_cycle_p2_r1,cycle,inverse,2,1,"[1, 4, 8]",0.0842841487476258,0.08746120473851592,-0.003177055990890118,0.003177055990890118,0.4774248929826763,0.08333333333333355,0.6361297343270651,0.25000000000000017,0.0842841487476258,0.0842841487476258,0.0,0.4774248929826763,0.4774248929826763,"same feasible subspace, same mixer topology, same depth, same restart count"
structured_inverse_path_p1_r1,uniform_match_path_p1_r1,path,inverse,1,1,"[1, 4, 8]",0.0842841487476258,0.08695128375658374,-0.0026671350089579465,0.0026671350089579465,0.47742489298267465,0.007787986358366162,0.6361297343270635,0.11467375215747495,0.0842841487476258,0.08428414874762581,1.3877787807814457e-17,0.47742489298267465,0.47742489298267476,"same feasible subspace, same mixer topology, same depth, same restart count"
structured_inverse_path_p3_r4,uniform_match_path_p3_r4,path,inverse,3,4,"[1, 4, 8]",0.0842841487476258,0.08642122764242197,-0.0021370788947961683,0.0021370788947961683,0.47742489298267354,0.018375727284651536,0.6361297343270627,0.043734863066876725,0.0842841487476258,0.08428414874762581,1.3877787807814457e-17,0.47742489298267327,0.47742489298267377,"same feasible subspace, same mixer topology, same depth, same restart count"
structured_inverse_path_p2_r4,uniform_match_path_p2_r4,path,inverse,2,4,"[1, 4, 8]",0.08428414874762581,0.08642122764242115,-0.0021370788947953356,0.0021370788947953356,0.47742489298267426,0.018375729666657178,0.6361297343270633,0.04373486012418675,0.08428414874762581,0.08428414874762583,1.3877787807814457e-17,0.47742489298267404,0.4774248929826744,"same feasible subspace, same mixer topology, same depth, same restart count"
structured_exponential_cycle_p3_r8,uniform_match_cycle_p3_r8,cycle,exponential,3,8,"[1, 4, 8]",0.08434361726272907,0.08428853017659335,5.508708613571889e-05,5.508708613571889e-05,0.31828200675358953,0.4132152414419587,0.6329981604031263,0.79477331477453,0.08434361726272907,0.0850298042747288,0.0006861870119997254,0.18010244279907078,0.3544945003409083,"same feasible subspace, same mixer topology, same depth, same restart count"
structured_exponential_complete_p1_r8,uniform_match_complete_p1_r8,complete,exponential,1,8,"[1, 4, 8]",0.08441177380883735,0.08476672503171202,-0.0003549512228746693,0.0003549512228746693,0.2205054009065544,0.1750334885155397,0.5075090905287428,0.4540953798555095,0.08441177380883735,0.08502980427472877,0.0006180304658914143,0.18010244279906987,0.22050540306545824,"same feasible subspace, same mixer topology, same depth, same restart count"
structured_exponential_cycle_p2_r8,uniform_match_cycle_p2_r8,cycle,exponential,2,8,"[1, 4, 8]",0.08473833523365572,0.08482091893341458,-8.258369975885915e-05,8.258369975885915e-05,0.3058370849452707,0.19662681405924806,0.4088016578360514,0.6508480410954894,0.08473833523365572,0.08502980427472877,0.00029146904107305027,0.18010244279907042,0.3058370849452707,"same feasible subspace, same mixer topology, same depth, same restart count"
structured_exponential_cycle_p1_r1,uniform_match_cycle_p1_r1,cycle,exponential,1,1,"[1, 4, 8]",0.08502980427472877,0.0874612047385159,-0.002431400463787134,0.002431400463787134,0.1801024427990702,0.08333333333333344,0.44050070690769283,0.25000000000000006,0.08502980427472877,0.08502980427472877,0.0,0.1801024427990702,0.1801024427990702,"same feasible subspace, same mixer topology, same depth, same restart count"
structured_exponential_path_p4_r1,uniform_match_path_p4_r1,path,exponential,4,1,"[1, 4, 8]",0.08502980427472877,0.08642122764243422,-0.0013914233677054522,0.0013914233677054522,0.18010244279906867,0.018375801288481892,0.44050070690768994,0.043734771649819884,0.08502980427472877,0.08502980427472878,1.3877787807814457e-17,0.18010244279906867,0.18010244279906912,"same feasible subspace, same mixer topology, same depth, same restart count"
structured_exponential_path_p1_r1,uniform_match_path_p1_r1,path,exponential,1,1,"[1, 4, 8]",0.08502980427472878,0.08695128375658374,-0.0019214794818549624,0.0019214794818549624,0.18010244279906965,0.007787986358366162,0.44050070690769194,0.11467375215747495,0.08502980427472878,0.08502980427472878,0.0,0.18010244279906965,0.18010244279906978,"same feasible subspace, same mixer topology, same depth, same restart count"
structured_exponential_path_p2_r1,uniform_match_path_p2_r1,path,exponential,2,1,"[1, 4, 8]",0.08502980427472878,0.08642122764242191,-0.0013914233676931287,0.0013914233676931287,0.1801024427990693,0.018375727537296074,0.4405007069076913,0.04373486275476349,0.08502980427472878,0.0850298042747288,1.3877787807814457e-17,0.1801024427990693,0.18010244279906965,"same feasible subspace, same mixer topology, same depth, same restart count"
structured_exponential_path_p3_r1,uniform_match_path_p3_r1,path,exponential,3,1,"[1, 4, 8]",0.08502980427472878,0.08642122764242197,-0.0013914233676931842,0.0013914233676931842,0.180102442799069,0.018375727284651536,0.44050070690769066,0.043734863066876725,0.08502980427472878,0.08502980427472878,0.0,0.180102442799069,0.18010244279906945,"same feasible subspace, same mixer topology, same depth, same restart count"
