method,analysis_stage,oracle,iterations,initial_state,states_in_support,feasible_support_probability,expected_selected_worst_error,initial_expected_selected_worst_error,expected_nominal_error,probability_best_state,initial_probability_best_state,probability_good_set,probability_pareto_frontier,top_schedule,top_schedule_probability,top_schedule_selected_worst_error,best_schedule,best_selected_worst_error,top3_schedules,predeclared_protocol_name,predeclared_good_rule,predeclared_iteration_rule,predeclared_iteration_cap,initial_good_probability_predeclared,predicted_good_probability_predeclared
grover_warm_thresholdle0p0832614239111_r7,exploratory_sweep,threshold<=0.0832614239111,7,inverse,12,1.0,0.08362658274957557,0.0842841487476258,0.05917143578943611,0.8134171457679963,0.47742489298267526,0.8134171457679963,0.8700819234828898,111111111110,0.8134171457679963,0.0832614239111052,111111111110,0.0832614239111052,111111111110:0.813; 111111011111:0.058; 111111111101:0.036,,,,,,
grover_warm_top_1_r7,exploratory_sweep,top_1,7,inverse,12,1.0,0.08362658274957557,0.0842841487476258,0.05917143578943611,0.8134171457679963,0.47742489298267526,0.8134171457679963,0.8700819234828898,111111111110,0.8134171457679963,0.0832614239111052,111111111110,0.0832614239111052,111111111110:0.813; 111111011111:0.058; 111111111101:0.036,,,,,,
grover_warm_top_3_r11,exploratory_sweep,top_3,11,inverse,12,1.0,0.08366546333444097,0.0842841487476258,0.059339799501753276,0.6040396218630577,0.47742489298267526,0.9360531972552216,0.7460508449953795,111111111110,0.6040396218630577,0.0832614239111052,111111111110,0.0832614239111052,111111111110:0.604; 111111011111:0.204; 111111111101:0.128,,,,,,
grover_uniform_top_3_r1,exploratory_sweep,top_3,1,uniform,12,1.0,0.08367113153131447,0.0874612047385159,0.05946632322871882,0.3333333333333333,0.08333333333333333,1.0,0.6666666666666666,111111011111,0.3333333333333333,0.0836849565091918,111111111110,0.0832614239111052,111111011111:0.333; 111111111101:0.333; 111111111110:0.333,,,,,,
grover_uniform_top_3_r10,exploratory_sweep,top_3,10,uniform,12,1.0,0.08367113153131447,0.0874612047385159,0.05946632322871882,0.3333333333333333,0.08333333333333333,1.0,0.6666666666666666,111111011111,0.3333333333333333,0.0836849565091918,111111111110,0.0832614239111052,111111011111:0.333; 111111111101:0.333; 111111111110:0.333,,,,,,
grover_uniform_top_3_r4,exploratory_sweep,top_3,4,uniform,12,1.0,0.08367113153131447,0.0874612047385159,0.05946632322871882,0.3333333333333333,0.08333333333333333,1.0,0.6666666666666666,111111011111,0.3333333333333333,0.0836849565091918,111111111110,0.0832614239111052,111111011111:0.333; 111111111101:0.333; 111111111110:0.333,,,,,,
grover_uniform_top_3_r7,exploratory_sweep,top_3,7,uniform,12,1.0,0.08367113153131447,0.0874612047385159,0.05946632322871882,0.3333333333333333,0.08333333333333333,1.0,0.6666666666666666,111111011111,0.3333333333333333,0.0836849565091918,111111111110,0.0832614239111052,111111011111:0.333; 111111111101:0.333; 111111111110:0.333,,,,,,
grover_warm_top_5_r12,exploratory_sweep,top_5,12,inverse,12,1.0,0.08370403072505786,0.0842841487476258,0.059361491599326084,0.547121999573991,0.47742489298267526,0.9870971004056825,0.728995444831413,111111111110,0.547121999573991,0.0832614239111052,111111111110,0.0832614239111052,111111111110:0.547; 111111011111:0.185; 111111111101:0.116,,,,,,
grover_uniform_thresholdle0p0832614239111_r7,exploratory_sweep,threshold<=0.0832614239111,7,uniform,12,1.0,0.08371408998760917,0.0874612047385159,0.059209040707523336,0.9011986766657558,0.08333333333333333,0.9011986766657558,0.9191625536356184,111111111110,0.9011986766657558,0.0832614239111052,111111111110,0.0832614239111052,111111111110:0.901; 011111111111:0.009; 101111111111:0.009,,,,,,
grover_uniform_top_1_r7,exploratory_sweep,top_1,7,uniform,12,1.0,0.08371408998760917,0.0874612047385159,0.059209040707523336,0.9011986766657558,0.08333333333333333,0.9011986766657558,0.9191625536356184,111111111110,0.9011986766657558,0.0832614239111052,111111111110,0.0832614239111052,111111111110:0.901; 011111111111:0.009; 101111111111:0.009,,,,,,
