evidence_tier,case_id,n_segments,active_windows,M,budget_label,budget,online_method,baseline_method,paired_seeds,online_successes,baseline_successes,paired_success_delta_mean,paired_success_delta_sum,best_cost_diff_mean_online_minus_baseline,best_cost_diff_mean_bootstrap95_lower,best_cost_diff_mean_bootstrap95_upper,best_cost_diff_median_online_minus_baseline,best_cost_diff_negative_favors_online,best_cost_online_wins,best_cost_online_losses,best_cost_ties,best_cost_sign_test_p_two_sided
feedback_screening,feedback_N16_k12,16,12,1820,2sqrtM,86,online_threshold_amplitude_amplification,uniform_random_without_replacement,200,89,8,0.405,81,-0.016506163494743434,-0.01858086732874478,-0.014523326390938627,-0.014417274154556958,True,175,11,14,3.7142923064297386e-39
feedback_screening,feedback_N16_k12,16,12,1820,2sqrtM,86,online_threshold_amplitude_amplification,simulated_annealing_baseline,200,89,52,0.185,37,-0.0045482605963347465,-0.006147405000070254,-0.0030887395456645275,-0.0025811883759359056,True,115,50,35,4.51444302922317e-07
feedback_screening,feedback_N16_k12,16,12,1820,2sqrtM,86,online_threshold_amplitude_amplification,cross_entropy_baseline,200,89,28,0.305,61,-0.007867190886305532,-0.009179146665258818,-0.006530604230446879,-0.009446212528824882,True,146,31,23,4.78387266540234e-19
feedback_screening,feedback_N16_k12,16,12,1820,2sqrtM,86,online_threshold_amplitude_amplification,genetic_baseline,200,89,58,0.155,31,-0.0027990004755312297,-0.0039071831517519945,-0.0016980096642035215,0.0,True,99,53,48,0.00023742692017977312
feedback_screening,feedback_N16_k12,16,12,1820,4sqrtM,172,online_threshold_amplitude_amplification,uniform_random_without_replacement,200,172,15,0.785,157,-0.014105380615081401,-0.015206274796384447,-0.013009164001998924,-0.013488740787093945,True,181,3,16,8.46988598261501e-50
feedback_screening,feedback_N16_k12,16,12,1820,4sqrtM,172,online_threshold_amplitude_amplification,simulated_annealing_baseline,200,172,100,0.36,72,-0.004056576121014953,-0.0049862752597587875,-0.0031431503141451335,0.0,True,96,19,85,1.4467477786679854e-13
feedback_screening,feedback_N16_k12,16,12,1820,4sqrtM,172,online_threshold_amplitude_amplification,cross_entropy_baseline,200,172,104,0.34,68,-0.0032886361054322386,-0.004003155175171389,-0.0025802583351978063,0.0,True,83,11,106,8.004192428935576e-15
feedback_screening,feedback_N16_k12,16,12,1820,4sqrtM,172,online_threshold_amplitude_amplification,genetic_baseline,200,172,163,0.045,9,-0.0005029262638840498,-0.0011150801386310047,8.782154537333285e-05,0.0,True,33,22,145,0.17700136477035816
feedback_screening,feedback_N16_k12,16,12,1820,M,1820,online_threshold_amplitude_amplification,uniform_random_without_replacement,200,200,200,0.0,0,0.0,0.0,0.0,0.0,True,0,0,200,1.0
feedback_screening,feedback_N16_k12,16,12,1820,M,1820,online_threshold_amplitude_amplification,simulated_annealing_baseline,200,200,200,0.0,0,0.0,0.0,0.0,0.0,True,0,0,200,1.0
feedback_screening,feedback_N16_k12,16,12,1820,M,1820,online_threshold_amplitude_amplification,cross_entropy_baseline,200,200,200,0.0,0,0.0,0.0,0.0,0.0,True,0,0,200,1.0
feedback_screening,feedback_N16_k12,16,12,1820,M,1820,online_threshold_amplitude_amplification,genetic_baseline,200,200,200,0.0,0,0.0,0.0,0.0,0.0,True,0,0,200,1.0
feedback_screening,feedback_N20_k16,20,16,4845,sqrtM,70,online_threshold_amplitude_amplification,uniform_random_without_replacement,200,27,4,0.115,23,-0.01120075702300821,-0.012849937856623085,-0.009612367081215106,-0.010716946798257743,True,169,29,2,3.145817080463773e-25
feedback_screening,feedback_N20_k16,20,16,4845,sqrtM,70,online_threshold_amplitude_amplification,simulated_annealing_baseline,200,27,15,0.06,12,-0.003948299550820623,-0.005413238996256186,-0.0025743716038838112,-0.0031700797604420905,True,124,70,6,0.00012927981647310304
