schedule,feedback_objective,feedback_nominal_error,feedback_worst_error,feedback_robust_degradation,active_fraction,smoothness
1111011100101111,0.9320200795015907,0.44749770913440495,0.46760436456507753,0.020106655430672582,0.75,0.4
1111011100110111,0.9308526537434714,0.4468745364647844,0.4669707945245132,0.020096258059728755,0.75,0.4
1111011100111011,0.9299221151447199,0.4463784016590085,0.46646559599869003,0.020087194339681536,0.75,0.4
1111011100111101,0.9292551907264472,0.44602325840384127,0.4661033746033705,0.020080116199529208,0.75,0.4
1111011100111110,0.9262221313386555,0.4458283043367675,0.46590432932412634,0.02007602498735883,0.75,0.3333333333333333
1111011101001111,0.9316413876031149,0.44665617158223625,0.46760436456507753,0.020948192982841285,0.75,0.4
1111011101010111,0.9358084812739768,0.4460356346807221,0.4669707945245132,0.020935159843791074,0.75,0.5333333333333333
1111011101011011,0.934878920151215,0.44554167204381223,0.46646559599869003,0.0209239239548778,0.75,0.5333333333333333
1111011101011101,0.9342127124859033,0.4451881215730028,0.4661033746033705,0.020915253030367675,0.75,0.5333333333333333
1111011101011110,0.9311800462192842,0.4449940411085346,0.46590432932412634,0.020910288215591766,0.75,0.4666666666666667
1111011101100111,0.9291043450364891,0.44530543497917663,0.4662263566398997,0.02092092166072307,0.75,0.4
1111011101101011,0.9335120841764871,0.4448135487049235,0.46572332423281304,0.02090977552788953,0.75,0.5333333333333333
1111011101101101,0.9328487904870143,0.44446152443528925,0.4653626936841434,0.020901169248854157,0.75,0.5333333333333333
1111011101101110,0.9298177231215231,0.44426828057816015,0.4651645215676317,0.02089624098947157,0.75,0.4666666666666667
1111011101110011,0.9270277966373162,0.444201122349647,0.46509806541426785,0.020896943064620865,0.75,0.4
1111011101110101,0.9317006340666371,0.4438505612582199,0.4647389629765034,0.02088840171828349,0.75,0.5333333333333333
1111011101110110,0.9286710998868252,0.4436581184327792,0.4645416285181485,0.020883510085369317,0.75,0.4666666666666667
1111011101111001,0.9254535714442049,0.4433649688355886,0.4642423824772786,0.02087741364168999,0.75,0.4
1111011101111010,0.9277588409292269,0.44317329270488975,0.4640458518181141,0.02087255911322433,0.75,0.4666666666666667
1111011101111100,0.9217731194365865,0.44282703797046424,0.4636911564403887,0.020864118469924475,0.75,0.3333333333333333
1111011110001111,0.9258867156893672,0.44571986362576,0.46760436456507753,0.02188450093931754,0.75,0.26666666666666666
1111011110010111,0.9300550331666568,0.4451020462940851,0.4669707945245132,0.02186874823042806,0.75,0.4
1111011110011011,0.929126477283948,0.44461031752396013,0.46646559599869003,0.0218552784747299,0.75,0.4
1111011110011101,0.9284610061262708,0.4442584037367823,0.4661033746033705,0.021844970866588154,0.75,0.4
