group,k_active,active_fraction,schedule,coast_windows_zero_based,fuel_residual_weight,max_nfev,true_objective,feedback_nominal_error,feedback_worst_error,refinement_success,all_mask_success,refined_nominal_error,refined_selected_worst_error,refined_all_mask_worst_error,refined_nominal_fuel,refined_recovery_fuel_mean,refined_recovery_fuel_max,refinement_nfev,refinement_runtime_seconds,best_initial_guess,selected_outage_indices,selected_outage_errors,all_outage_errors,one_coast_pareto_frontier
k10_full,10,0.8333333333333334,110111111101,"2,10",0.018,35,0.9564327443580801,0.40635815709110706,0.4350186565154483,True,True,0.08733178462325682,0.11307546666050142,0.12290887390695328,0.08333333333333333,0.075,0.075,19,16.480736599998636,feedback,[6],[0.11307546666050142],"[0.12290887390695328, 0.12077115497891085, 0.08733178462325682, 0.11711874758967272, 0.11558557272974475, 0.11424042651576713, 0.11307546666050142, 0.11209672084170434, 0.11129982398496044, 0.11068384499177045, 0.08733178462325682, 0.11001995710280786]",False
k10_full,10,0.8333333333333334,110111111110,"2,11",0.018,35,0.9520064146244189,0.4059430106230696,0.4345878349535335,True,True,0.08710395796386664,0.11283518423147369,0.12265758279785799,0.08333333333333333,0.075,0.075,19,14.760156199998164,feedback,[6],[0.11283518423147369],"[0.12265758279785799, 0.12052250564786592, 0.08710395796386664, 0.11687409458692936, 0.1153432292448108, 0.11400163965747787, 0.11283518423147369, 0.11185925303469187, 0.11106772192581083, 0.11045402352283067, 0.1100273572801181, 0.08710395796386664]",False
k10_full,10,0.8333333333333334,111001111111,"3,4",0.018,35,0.8767819418944889,0.367366942869625,0.3958529216645933,False,False,0.09092569449132935,0.11684143002170158,0.12683324462432286,0.08333333333333333,0.07499986001827635,0.07499986001827635,29,25.86546449999878,feedback,[6],[0.11684143002170158],"[0.12683324462432286, 0.12466138405738744, 0.12270119231005532, 0.09092569449132935, 0.09092569449132935, 0.11800294670533154, 0.11684143002170158, 0.11579789996912446, 0.11497503821494529, 0.11433552275240655, 0.11388740211235682, 0.11363615642696588]",False
k10_full,10,0.8333333333333334,111010111111,"3,5",0.018,35,0.8878076508333714,0.36936481767970586,0.3978914488086068,False,False,0.09039513816369223,0.116570512455519,0.12611242610019435,0.08333333333333333,0.07499999999999998,0.07499999999999998,35,31.352827499998966,feedback,[6],[0.116570512455519],"[0.12611242610019435, 0.12392470666470692, 0.12198387438892355, 0.09039513816369223, 0.11865286516114372, 0.09039513816369223, 0.116570512455519, 0.1151483224462768, 0.11432879836650094, 0.11369768508333587, 0.11325928548376052, 0.11301783811815613]",False
k10_full,10,0.8333333333333334,111011011111,"3,6",0.018,35,0.9675417967628029,0.41344420266207643,0.44067603644243875,True,True,0.08846841720162288,0.11329503842934502,0.12418332771650245,0.08333333333333331,0.07499999999999998,0.07499999999999998,24,21.05102949999855,feedback,[7],[0.11329503842934502],"[0.12418332771650245, 0.12203268691433439, 0.12009231304216117, 0.08846841720162288, 0.11680790173357863, 0.11544791030251307, 0.08846841720162288, 0.11329503842934502, 0.11246642514702644, 0.11183785838826996, 0.1113981751688293, 0.1111559544168006]",False
k10_full,10,0.8333333333333334,111011101111,"3,7",0.018,35,0.9668326212319684,0.4118682570379997,0.44067603644243875,True,True,0.08751607453960096,0.11331077780558295,0.12314433270059552,0.08333333333333331,0.07499932777404153,0.07499932777404153,22,19.10469870000088,feedback,[6],[0.11331077780558295],"[0.12314433270059552, 0.12100341275387987, 0.11907111253339518, 0.08751607453960096, 0.11580265591356376, 0.11444951408623956, 0.11331077780558295, 0.08751607453960096, 0.11149153909133212, 0.11086835114111439, 0.11043261817252539, 0.11019303307456071]",False
k10_full,10,0.8333333333333334,111011110111,"3,8",0.018,35,0.9643248106259245,0.4105423181628499,0.4393109377908484,True,True,0.08672757612354041,0.11246535983277423,0.12228558212657918,0.08333333333333333,0.075,0.075,18,16.130464400001074,feedback,[6],[0.11246535983277423],"[0.12228558212657918, 0.12015124335733661, 0.11822714968684281, 0.08672757612354041, 0.114973374302618, 0.11362879181856636, 0.11246535983277423, 0.11148543947542612, 0.08672757612354041, 0.11006704254472408, 0.10963528500547783, 0.10939835920478766]",False
k10_full,10,0.8333333333333334,111011111011,"3,9",0.018,35,0.9623213524180367,0.40948523807306647,0.43821967195693035,True,True,0.08612524437701427,0.11183655737138899,0.12162324211033214,0.08333333333333331,0.075,0.075,18,15.922318000000814,feedback,[6],[0.11183655737138899],"[0.12162324211033214, 0.11949495803213182, 0.11757670014410741, 0.08612524437701427, 0.11433410623061242, 0.11299494312501225, 0.11183655737138899, 0.11086240933971712, 0.1100668852240784, 0.08612524437701427, 0.10902548199562143, 0.10879107299506778]",False
k10_full,10,0.8333333333333334,111011111101,"3,10",0.018,35,0.9608782758846719,0.408725590978295,0.4374330752849892,True,True,0.08570740183706127,0.11139841234956226,0.12115799115911724,0.08333333333333333,0.075,0.075,26,21.68425819999902,feedback,[6],[0.11139841234956226],"[0.12115799115911724, 0.11903438535747064, 0.11712069351162144, 0.08570740183706127, 0.11388713719392123, 0.11255240472536175, 0.11139841234956226, 0.11042889935726061, 0.10963721414131287, 0.1090271277193891, 0.08570740183706127, 0.10837048277677809]",False
k10_full,10,0.8333333333333334,111011111110,"3,11",0.018,35,0.9564444524105685,0.408306548324958,0.4369981533966048,True,True,0.08547423016169416,0.11115524050632655,0.12089973070054551,0.08333333333333333,0.075,0.075,26,22.905249499999627,feedback,[6],[0.11115524050632655],"[0.12089973070054551, 0.11877878651673184, 0.11686765815415527, 0.08547423016169416, 0.11363912855707184, 0.11230685928646697, 0.11115524050632655, 0.11018820351776067, 0.10939904515919326, 0.10879157169925469, 0.10836950340098496, 0.08547423016169416]",False
k10_full,10,0.8333333333333334,111100111111,"4,5",0.018,35,0.8845999875654554,0.3715296771528957,0.40009921826708955,True,True,0.08829806721062161,0.11416936494127808,0.12394483726873912,0.08333333333333333,0.07499999999999998,0.07499999999999998,35,35.153630200002226,feedback,[6],[0.11416936494127808],"[0.12394483726873912, 0.12182851000209217, 0.119889462380433, 0.11813856584023874, 0.08829806721062161, 0.08829806721062161, 0.11416936494127808, 0.11306734388469378, 0.11225570169452705, 0.11163064948471467, 0.11119123231798086, 0.11095000054849123]",False
k10_full,10,0.8333333333333334,111101011111,"4,6",0.018,35,0.9716540908412641,0.41564191819089985,0.4429069807927891,True,True,0.0870040540866545,0.11178554620020782,0.12260131103207003,0.08333333333333333,0.07499999999999998,0.07499999999999998,22,17.705383699998492,feedback,[7],[0.11178554620020782],"[0.12260131103207003, 0.12046387837097751, 0.11853675856092785, 0.11680965548120464, 0.0870040540866545, 0.11392708935207758, 0.0870040540866545, 0.11178554620020782, 0.11097000024947827, 0.11034650692767697, 0.10991134963751159, 0.10967199902892912]",False
k10_full,10,0.8333333333333334,111101101111,"4,7",0.018,35,0.9709388284350028,0.4140524461769861,0.4429069807927891,True,True,0.08605406725469658,0.11178045937495396,0.12157070862268331,0.08333333333333333,0.07499999999999998,0.07499999999999998,24,22.174363699999958,feedback,[6],[0.11178045937495396],"[0.12157070862268331, 0.11944083935146864, 0.11752155889700458, 0.11580196877872116, 0.08605406725469658, 0.11293438440615375, 0.11178045937495396, 0.08605406725469658, 0.1099963368599294, 0.1093783988819966, 0.10894692593641112, 0.1087099530649251]",False
k10_full,10,0.8333333333333334,111101110111,"4,8",0.018,35,0.968409033549225,0.4127149727928929,0.4415298866049778,True,True,0.08528563295482398,0.1109742970418852,0.12072526998412245,0.08333333333333333,0.075,0.075,25,21.713036600001942,feedback,[6],[0.1109742970418852],"[0.12072526998412245, 0.11860340235972293, 0.11669189591386016, 0.11498024077852079, 0.08528563295482398, 0.11212782518892826, 0.1109742970418852, 0.11000306324316206, 0.08528563295482398, 0.10859657310702775, 0.10816913278219788, 0.10793481236882416]",False
k10_full,10,0.8333333333333334,111101111011,"4,9",0.018,35,0.9663877286140563,0.4116485596700354,0.4404288730122043,True,True,0.08483856781171928,0.11061866549405083,0.12019838695760948,0.08333333333333333,0.07499995131980361,0.07499995131980361,33,32.404651199998625,feedback,[6],[0.11061866549405083],"[0.12019838695760948, 0.11807955793579095, 0.11617254199233565, 0.11446215278906423, 0.08483856781171928, 0.11160589438601223, 0.11061866549405083, 0.109500676369124, 0.10871028725403445, 0.08483856781171928, 0.10767561530701839, 0.10744462167113321]",False
k10_full,10,0.8333333333333334,111101111101,"4,10",0.018,35,0.9649315691823004,0.4108820882462187,0.4396351249471769,True,True,0.08449937073182087,0.11031388936580831,0.1198121884551977,0.08333333333333331,0.075,0.075,29,26.06839409999884,feedback,[6],[0.11031388936580831],"[0.1198121884551977, 0.11768873155869541, 0.11579182522140441, 0.11408298046188396, 0.08449937073182087, 0.11123976334021758, 0.11031388936580831, 0.10913670154544627, 0.10834861714601214, 0.10773855089264743, 0.08449937073182087, 0.10709151961988958]",False
k10_full,10,0.8333333333333334,111101111110,"4,11",0.018,35,0.9604904926131956,0.41045926883607275,0.43919623623419446,True,True,0.08425201034055708,0.11005873182563986,0.11953536613859371,0.08333333333333333,0.075,0.075,29,27.719749399999273,feedback,[6],[0.11005873182563986],"[0.11953536613859371, 0.1174196596026152, 0.11552098875784532, 0.11381447042506082, 0.08425201034055708, 0.11097554453938523, 0.11005873182563986, 0.10888595534719206, 0.1081011349474775, 0.10749550117851824, 0.10707755508940504, 0.08425201034055708]",False
